Table I entries for CookeTriplet.zmx, wavelength 2 (0.55 um), from
BuchdahlTableI in this repository. Buchdahl works in units of the focal
length, so lengths here are divided by EFL and curvatures multiplied by it.

EFL 49.999981961   Buchdahl p 0.230243186

entry     surface 1           surface 2           surface 3           surface 4           surface 5           surface 6      
t146     1.780285219E+000    5.287983310E+000    1.525371129E+001   -3.318724105E+000   -9.190815960E-001   -3.491681071E+001
t147     3.404607528E-002    1.194716210E+001   -1.070083298E+001   -4.055282381E+001    1.346042826E+000    9.391757271E-001
t148     3.404607528E-002    1.637814854E+001   -6.883698733E-002   -1.254390418E+001    8.613392942E+000   -1.634830524E+001
t149    -4.085548097E-001    5.056726591E+000   -6.115284277E+000    1.019518978E+001   -1.275522715E+000   -6.373166126E-002
t150    -4.085548097E-001    6.388637227E+000   -1.193315481E+000    5.609401206E+000   -6.365812931E+000   -2.334747722E+000
t151     7.528864971E-001    1.142807592E+000   -1.029763086E+001    4.910081110E+000   -2.941187777E-001   -4.157713018E+000
t152     1.357117361E-001    7.130213326E-001   -1.036733906E+000   -7.753235931E-001    3.977073210E-001    4.864423036E-003
t153     0.000000000E+000   -5.374924136E-002   -8.437045045E-001   -3.719175990E-001    1.720058391E+000    4.295654219E-003
t154     0.000000000E+000    2.589609504E-001   -1.225291786E+000   -7.848308041E-001    4.755509773E-001    9.463248154E-002
t155     1.357117361E-001    6.112475143E-001   -2.918568184E-001   -2.000511534E+000    1.563621994E+000    1.017702670E-001

Per-surface tertiary T1..T10, total and intrinsic:
  surface 1
    tot   1.4271378E+001 -1.2039223E+001  3.3068797E+000 -4.5737093E+000  1.6350489E+000 -5.0818294E-001  1.7802852E+000  3.4046075E-002 -4.0855481E-001  1.3571174E-001
    int   1.4271378E+001 -1.2039223E+001  3.3068797E+000 -4.5737093E+000  1.6350489E+000 -5.0818294E-001  1.7802852E+000  3.4046075E-002 -4.0855481E-001  1.3571174E-001
    bar  -2.9974000E+000  2.5285832E+000 -6.9453988E-001  9.6061054E-001 -3.4340732E-001  1.0673304E-001 -3.7391112E-001 -7.1506554E-003  8.5808265E-002 -2.8503369E-002
  surface 2
    tot   4.6381334E+001  6.3231084E+001  2.4597282E+001  2.7479658E+001  3.3568382E+001  4.6940994E+000  5.2879833E+000  1.6378149E+001  6.3886372E+000  6.1124751E-001
    int   2.0053893E+000  1.0077224E+001  4.2725264E+000  1.6866929E+001  1.4294287E+001  3.0267523E+000  9.4034915E+000  1.1947162E+001  5.0567266E+000  7.1302133E-001
    bar   2.1627095E+001  2.8108856E+001  8.6147665E+000  1.9428337E+001  1.7212726E+001  1.5549695E+000  7.1325757E+000  1.2776331E+001  3.9086999E+000  4.1987039E-001
  surface 3
    tot  -2.8148572E+002 -2.9496174E+002 -5.8981736E+001 -6.2442374E+001 -3.6067004E+001 -2.0280127E+000  1.5253711E+001 -6.8836987E-002 -1.1933155E+000 -2.9185682E-001
    int  -8.0434469E+001 -1.1764831E+002 -1.7659562E+001 -3.9698354E+001 -1.1872705E+001 -1.5986231E+000 -5.8385998E+000 -1.0700833E+001 -6.1152843E+000 -1.0367339E+000
    bar  -8.6937013E+001 -9.9234175E+001 -1.7139547E+001 -3.1519715E+001 -1.4524777E+001 -6.0603529E-001  2.1287654E+000 -2.5683614E+000 -1.0562987E+000 -1.8258873E-001
  surface 4
    tot  -4.2505455E+002  1.4541660E+002 -7.5284281E+001  6.2390349E+001  7.0973529E+001 -6.4647148E+000 -3.3187241E+000 -1.2543904E+001  5.6094012E+000 -2.0005115E+000
    int  -4.1182813E+001  1.4594661E+002 -4.7065881E+001 -1.5615183E+002  9.3860943E+001 -1.2918936E+001  4.8410699E+001 -4.0552824E+001  1.0195190E+001 -7.7532359E-001
    bar   1.1064475E+002 -3.6200383E+001  1.1008781E+001  1.5893683E+001 -3.2938501E+001 -9.3770459E-002 -2.1156862E+000  7.0432316E+000 -3.4523286E+000  1.5858045E+000
  surface 5
    tot   1.2995633E+002 -1.1005003E+002  5.1175984E+001 -3.2823356E+001 -3.9515116E+001  6.7772660E+000 -9.1908160E-001  8.6133929E+000 -6.3658129E+000  1.5636220E+000
    int   9.0010730E-002 -3.7262529E-001  1.6918013E-001  5.6621916E-001 -7.1579148E-001  2.8673569E-001 -4.9047727E-001  1.3460428E+000 -1.2755227E+000  3.9770732E-001
    bar  -7.0975923E+001  4.0151914E+001 -6.7214222E+000 -1.1362355E+001  3.1600288E+001  1.4503848E+000  1.6615731E+000 -1.1708263E+001  4.0666020E+000 -1.7550589E+000
  surface 6
    tot   1.7964191E+002  3.3438955E+002  8.5906072E+000  2.1168857E+001 -5.7704885E+001 -6.2828619E+000 -3.4916811E+001 -1.6348305E+001 -2.3347477E+000  1.0177027E-001
    int   2.3242614E+002  2.9973512E+002  4.3406855E+001  8.4509952E+001  2.1871184E+001  8.1656880E-001 -1.0987273E+000  9.3917573E-001 -6.3731661E-002  4.8644230E-003
    bar   5.1184969E+001  5.3557216E+001  1.1850341E+000 -8.8332469E+000 -1.2480843E+001 -2.1459889E+000 -6.1630304E+000 -1.1919697E+000  2.7917468E-001 -1.3914565E-002

Per-surface tau1..tau20, transverse measure (stage D), and the system totals.
Generated from BuchdahlTableI + TertiaryCoefficients on the same CookeTriplet.zmx.


Per-surface tau1..tau20, transverse measure:
  surface 1
    tot   -7.135704E-05   -1.640965E-04   -1.095482E-04   -3.865251E-04   -2.190387E-04
           3.029500E-04    3.063927E-04    5.274847E-04    3.043914E-04    5.364975E-05
           7.472475E-04    2.982224E-04    4.459168E-04   -2.987451E-05   -3.229500E-04
          -6.638275E-04   -6.524088E-04   -2.575005E-03   -1.577548E-03   -1.205944E-03
    int   -7.135704E-05   -1.640965E-04   -1.095482E-04   -3.865251E-04   -2.190387E-04
           3.029500E-04    3.063927E-04    5.274847E-04    3.043914E-04    5.364975E-05
           7.472475E-04    2.982224E-04    4.459168E-04   -2.987451E-05   -3.229500E-04
          -6.638275E-04   -6.524088E-04   -2.575005E-03   -1.577548E-03   -1.205944E-03
    ind    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
           0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
           0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
           0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
  surface 2
    tot   -2.319072E-04    9.689385E-04    5.753568E-04   -3.491110E-03   -1.629257E-03
          -1.820177E-03    8.943275E-03    7.025750E-03    4.365109E-03    1.593559E-04
          -1.922265E-02   -2.063003E-02   -4.118946E-03   -1.437138E-02    3.557013E-02
           3.060396E-02    1.020182E-02   -5.254103E-02   -7.105298E-03    1.776422E-02
    int   -1.002697E-05    1.228830E-04    9.169541E-05   -8.534149E-04   -2.830004E-04
          -1.117219E-03    5.190921E-03    4.594062E-03    2.289818E-03    2.833787E-04
          -1.337463E-02   -1.753463E-02   -2.655894E-03   -1.048331E-02    3.263929E-02
           2.437846E-02    8.074934E-03   -5.852051E-02   -8.288343E-03    2.577987E-02
    ind   -2.218802E-04    8.460555E-04    4.836614E-04   -2.637695E-03   -1.346256E-03
          -7.029581E-04    3.752354E-03    2.431688E-03    2.075291E-03   -1.240228E-04
          -5.848022E-03   -3.095399E-03   -1.463052E-03   -3.888071E-03    2.930842E-03
           6.225502E-03    2.126888E-03    5.979476E-03    1.183045E-03   -8.015645E-03
  surface 3
    tot    1.407432E-03   -4.266064E-03   -2.683937E-03    1.047979E-02    3.906789E-03
           4.136012E-03   -1.090007E-02   -6.308321E-03   -3.428230E-03    4.596779E-04
           1.452463E-02   -1.807532E-03    1.779526E-03    6.040260E-05   -7.942427E-03
          -6.006908E-03   -1.905569E-03    1.567131E-02    3.392619E-03   -7.725114E-03
    int    4.021732E-04   -1.698592E-03   -1.070514E-03    4.513387E-03    1.169721E-03
           2.629510E-03   -5.839038E-03   -4.188221E-03   -1.783057E-03   -1.759490E-04
           5.872859E-03    1.158794E-02    1.402749E-03    9.389693E-03   -1.928799E-02
          -1.709730E-02   -9.765313E-03    4.255244E-02    1.205126E-02   -1.882058E-02
    ind    1.005258E-03   -2.567472E-03   -1.613423E-03    5.966402E-03    2.737068E-03
           1.506502E-03   -5.061028E-03   -2.120099E-03   -1.645173E-03    6.356269E-04
           8.651768E-03   -1.339548E-02    3.767778E-04   -9.329290E-03    1.134556E-02
           1.109040E-02    7.859743E-03   -2.688114E-02   -8.658643E-03    1.109547E-02
  surface 4
    tot    2.125277E-03    3.336759E-03    1.323185E-03    7.384439E-03    4.986625E-03
          -4.132566E-03    1.282515E-02    1.007109E-02    8.355262E-03   -1.000113E-04
           3.457526E-02    1.286340E-02    5.672613E-03    1.100694E-02    1.990513E-02
           2.020461E-02    8.957483E-03    6.338522E-02    2.325446E-02    6.709352E-02
    int    2.059145E-04    1.702330E-03    1.328008E-03    7.945758E-03    3.117515E-03
           1.034307E-02    3.075908E-02    2.655078E-02    1.423194E-02    1.458880E-03
           5.247102E-02    5.680023E-02    1.133602E-02    3.558401E-02    6.923082E-02
           4.862362E-02    1.628039E-02    6.820324E-02    9.012561E-03    1.638350E-02
    ind    1.919363E-03    1.634429E-03   -4.822724E-06   -5.613196E-04    1.869110E-03
          -1.447564E-02   -1.793394E-02   -1.647969E-02   -5.876675E-03   -1.558891E-03
          -1.789576E-02   -4.393683E-02   -5.663405E-03   -2.457707E-02   -4.932569E-02
          -2.841901E-02   -7.322907E-03   -4.818020E-03    1.424190E-02    5.071002E-02
  surface 5
    tot   -6.497831E-04   -2.293034E-03   -1.001375E-03   -6.049310E-03   -3.389757E-03
           2.174129E-03   -7.836385E-03   -6.243656E-03   -4.818622E-03   -2.769696E-05
          -3.367527E-02   -9.016006E-03   -5.946868E-03   -7.558020E-03   -2.422980E-02
